Year Rank,Title,Domestic Gross,Year,movieID,wt
92,She's Out of My League,32010860,2010,2989,32010860
93,The Super,11000863,1991,1109,11000863
21,Disney’s A Christmas Carol,137855863,2009,2818,137855863
3,"The Twilight Saga: Breaking Dawn, Part 1",281287133,2011,3000,281287133
17,Fast & Furious,155064265,2009,2814,155064265
87,Colombiana,36665854,2011,3084,36665854
11,Patriot Games,83287363,1992,1122,83287363
57,Leap of Faith,22293343,1992,1168,22293343
17,Artificial Intelligence: AI,78616689,2001,2021,78616689
25,Nutty Professor II: The Klumps,123307945,2000,1929,123307945
66,High Crimes,41543207,2002,2170,41543207
10,Space Jam,90463534,1996,1514,90463534
42,The Other Woman,83911193,2014,3339,83911193
24,Field of Dreams,64431625,1989,854,64431625
3,Dirty Dancing,63892689,1987,663,63892689
31,Daddy Day Care,104148781,2003,2235,104148781
36,Mermaids,35140500,1990,954,35140500
52,The Chronicles of Riddick,57712751,2004,2356,57712751
4,Despicable Me 2,368065385,2013,3201,368065385
41,27 Dresses,76808654,2008,2738,76808654
7,Notting Hill,116089678,1999,1811,116089678
26,Kill Bill: Volume 1,70098138,2003,2230,70098138
27,Life of Pi,124987022,2012,3124,124987022
30,Talladega Nights: The Ballad of Ricky Bobby,148213377,2006,2532,148213377
2,Beverly Hills Cop II,153665036,1987,662,153665036
8,The Omen,48570885,1976,33,48570885
6,Inception,292576195,2010,2903,292576195
49,Navy SEALs,24824126,1990,967,24824126
34,Malcolm X,48169910,1992,1145,48169910
40,The Black Cauldron,21288692,1985,550,21288692
5,The Hobbit: An Unexpected Journey,303003568,2012,3102,303003568
10,Sudden Impact,67642693,1983,381,67642693
4,On Golden Pond,119285432,1981,242,119285432
6,The Hobbit: The Battle of the Five Armies,255119788,2014,3303,255119788
32,Saw II,87025093,2005,2436,87025093
3,"Monsters, Inc.",290149425,2001,2007,290149425
70,Dreamcatcher,33685268,2003,2274,33685268
13,Wedding Crashers,209218368,2005,2417,209218368
75,John Wick,43037835,2014,3372,43037835
81,Crocodile Dundee in Los Angeles,25590119,2001,2085,25590119
