Year Rank,Artist,Title,Year,musicID,wt
27,Dishwalla,Counting Blue Cars,1996,666,0.112283284040997
2,Ashanti,Foolish,2002,880,0.310112109748229
19,SAINt JHN,Roses,2020,1617,0.625130755153557
34,Bobby Brown,Humpin' Around,1992,513,0.0756631679029685
5,Kiiara,Gold,2016,1443,0.668563248217922
8,Lady Gaga,Bad Romance,2010,1206,0.42010437531745
25,Katy Perry,Hot N Cold,2009,1183,0.317112076427506
40,Rihanna,Only Girl,2011,1278,0.339638720697
2,Carly Rae   Jepsen,Call Me Maybe,2012,1280,0.616276850637074
25,Rome,I Belong To You (Every Time I See Your Face),1997,703,0.123812714586651
37,The Black Eyed Peas,The Time (Dirty Bit),2011,1275,0.344351951833161
31,Kodak Black Featuring Travis Scott & Offset,ZEZE,2019,1589,0.564156963992774
16,Jamie Foxx Featuring T pain,Blame It,2009,1174,0.344032375992548
5,3 Doors Down,When Im Gone,2003,923,0.275132858882466
21,Idina Menzel,Let It Go,2014,1379,0.469002027705952
20,Carrie Underwood,Before He Cheats,2007,1098,0.283030433194453
18,David Bowie,Let's Dance,1983,137,0.0311244183467678
20,Astronaut In The Ocean,Masked Wolf,2021,1658,0.62986389324904
5,Maroon 5,Sugar,2015,1403,0.633818848181486
11,Akon,Don't Matter,2007,1089,0.316883754988582
24,One Direction,Story of My Life,2014,1382,0.458534790137541
7,Future Featuring Drake,Life Is Good,2020,1605,0.730628293392728
26,Macy Gray,I Try,2000,824,0.155281677755936
36,Pitbull ft. Christina Aguilera,Feel This Moment,2013,1354,0.400136397526801
7,"Cardi B, Bad Bunny & J  Balvin",I Like It,2018,1525,0.691088476748774
13,Juvenile Featuring Soulja Slim,Slow Motion,2004,971,0.244231329720865
8,En Vogue,Don't Let Go (Love),1997,686,0.161958040712277
27,Halsey,Bad At Love,2018,1545,0.55674458734788
11,Mary J. Blige,Be Without You,2006,1049,0.293764475632932
30,Alex Clare,Too Close,2012,1308,0.384631319656359
14,Imagine Dragons,Believer,2017,1492,0.59302611251521
4,Mariah Carey,Always Be My Baby,1996,643,0.17842299091679
26,Lil Baby & Gunna,Drip Too Hard,2019,1584,0.580066802707305
27,"Jessie J, Ariana Grande & Nicki Minaj",Bang Bang,2014,1385,0.449496110189851
23,Delerium ft. Sarah McLachlan,Silence,2001,861,0.17239111662507
16,Chris Brown,Run It,2006,1054,0.273326911015235
22,Avicii,Wake Me Up,2014,1380,0.46532857738145
30,Frenship,Capsize feat. Emily Warren,2016,1468,0.497983807768103
17,Pitbull,I Know You Want Me (Calle Ocho),2009,1175,0.340245453167855
26,Shinedown,Second Chance,2009,1184,0.314849445891091
