Year Rank,Title,Domestic Gross,Year,movieID,wt
90,The Adventures of Rocky & Bullwinkle,26000610,2000,1994,26000610
69,Bad Santa,60060328,2003,2273,60060328
12,Rush Hour 2,226164286,2001,2016,226164286
100,The Odd Couple II,18912328,1998,1804,18912328
2,Home Alone,285761243,1990,920,285761243
35,"Crazy, Stupid, Love",84351197,2011,3032,84351197
54,Rules of Engagement,61322858,2000,1958,61322858
46,Tyler Perry's Madea's Witness Protection,65653242,2012,3143,65653242
2,The Da Vinci Code,217536138,2006,2504,217536138
52,Drop Zone,28607015,1994,1357,28607015
23,Uncle Buck,66758538,1989,853,66758538
5,Gremlins,151661913,1984,441,151661913
59,Kangaroo Jack,66723216,2003,2263,66723216
35,"P.S., I Love You",53695808,2007,2635,53695808
11,In the Line of Fire,102243874,1993,1216,102243874
42,Small Soldiers,55143823,1998,1746,55143823
69,Just One of the Guys,11377655,1985,579,11377655
9,X-Men: Days of Future Past,233921534,2014,3306,233921534
8,Brave,237282182,2012,3105,237282182
21,The Saint,61363304,1997,1625,61363304
10,Shakespeare in Love,100317794,1998,1714,100317794
2,Alice in Wonderland,334191110,2010,2899,334191110
87,Marmaduke,33644788,2010,2984,33644788
31,AVP: Alien Vs. Predator,80281096,2004,2335,80281096
4,The Twilight Saga: Eclipse,300531751,2010,2901,300531751
50,Men of Honor,48814909,2000,1954,48814909
88,Tyler Perry's Good Deeds,35025791,2012,3185,35025791
17,Lilo & Stitch,145771527,2002,2121,145771527
19,12 Monkeys,57141459,1995,1423,57141459
27,Conspiracy Theory,76118990,1997,1631,76118990
14,The Croods,187168425,2013,3211,187168425
38,The Doctor,37497480,1991,1054,37497480
8,Ice Age,176387405,2002,2112,176387405
26,Michael,95345070,1996,1530,95345070
75,Recess: School's Out,36696761,2001,2079,36696761
31,Rookie of the Year,53579269,1993,1236,53579269
11,Eraser,101295562,1996,1515,101295562
17,The Patriot,113330342,2000,1921,113330342
37,The Parent Trap,66308518,1998,1741,66308518
21,Misery,61158960,1990,939,61158960
